cr286_balancingfr5id,cr286_end_date1,cr286_fr_balance,cr286_imbalance,importsequencenumber,cr286_negative_imbalance_settlement_price,cr286_positive_imbalance_settlement_price,cr286_start_date1,statuscode,statecode,cr286_system_trend,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit,createdonbehalfby.azureactivedirectoryobjectid,createdby.azureactivedirectoryobjectid,modifiedonbehalfby.azureactivedirectoryobjectid,modifiedby.azureactivedirectoryobjectid
8acb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 12:30:00 AM,6567,,,4455,4031,1/2/2021 12:00:00 AM,Active,Active,HAUSSE,4,,4547713,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
89cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 1:00:00 AM,6566,,,4455,4031,1/2/2021 12:30:00 AM,Active,Active,HAUSSE,4,,4547712,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
88cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 1:30:00 AM,6565,,,5061,4579,1/2/2021 1:00:00 AM,Active,Active,HAUSSE,4,,4547711,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
87cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 3:30:00 AM,6564,,,5252,4752,1/2/2021 3:00:00 AM,Active,Active,HAUSSE,4,,4547710,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
86cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 2:00:00 AM,6563,,,3303,2989,1/2/2021 1:30:00 AM,Active,Active,BAISSE,4,,4547709,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
40be44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 4:30:00 AM,6562,,,637,5764,1/2/2021 4:00:00 AM,Active,Active,HAUSSE,4,,4547708,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
85cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 2:30:00 AM,6561,,,4605,4167,1/2/2021 2:00:00 AM,Active,Active,HAUSSE,4,,4547707,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
3dbe44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 6:30:00 AM,6560,,,7547,6829,1/2/2021 6:00:00 AM,Active,Active,HAUSSE,4,,4547706,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
83cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 3:00:00 AM,6559,,,5276,4774,1/2/2021 2:30:00 AM,Active,Active,HAUSSE,4,,4547705,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
3cbe44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 8:00:00 AM,6558,,,5315,4809,1/2/2021 7:30:00 AM,Active,Active,HAUSSE,4,,4547704,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
82cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 4:00:00 AM,6557,,,6217,5625,1/2/2021 3:30:00 AM,Active,Active,HAUSSE,4,,4547703,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
80cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 8:30:00 AM,6556,,,648,5862,1/2/2021 8:00:00 AM,Active,Active,HAUSSE,4,,4547702,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
38be44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 5:00:00 AM,6555,,,5728,5182,1/2/2021 4:30:00 AM,Active,Active,HAUSSE,4,,4547701,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
37be44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 5:30:00 AM,6554,,,6332,5729,1/2/2021 5:00:00 AM,Active,Active,HAUSSE,4,,4547700,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
81cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 6:00:00 AM,6553,,,6708,607,1/2/2021 5:30:00 AM,Active,Active,HAUSSE,4,,4547699,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
7fcb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 7:00:00 AM,6552,,,7048,6376,1/2/2021 6:30:00 AM,Active,Active,HAUSSE,4,,4547697,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
36be44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 9:30:00 AM,6551,,,6072,5494,1/2/2021 9:00:00 AM,Active,Active,HAUSSE,4,,4547696,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
